@RELATION TweetClassify

@ATTRIBUTE unigram  NUMERIC
@ATTRIBUTE emoticon  NUMERIC
@ATTRIBUTE class  {-1,0,1,2}

@DATA
9.7,0.0,0
13.86,0.0,0
16.64,0.0,0
12.48,0.0,0
6.93,0.0,0
16.64,0.0,0
15.25,0.0,1
15.25,0.0,0
6.93,0.0,0
2.77,0.0,0
11.09,0.0,0
19.41,0.0,0
6.93,0.0,0
6.93,0.0,0
23.57,0.0,0
6.93,0.0,0
8.32,0.0,0
27.73,0.0,0
9.7,0.0,0
16.64,0.0,0
12.48,0.0,0
5.55,0.0,0
19.41,0.0,0
9.7,0.0,0
5.55,0.0,0
12.48,0.0,0
16.64,0.0,1
13.86,0.0,0
22.18,0.0,0
30.5,0.0,0
16.64,0.0,2
12.48,0.0,0
16.64,0.0,0
12.48,0.0,-1
18.02,0.0,0
26.34,0.0,0
16.64,0.0,0
12.48,0.0,0
16.64,0.0,0
33.27,0.0,0
20.79,0.0,0
26.34,0.0,-1
4.16,0.0,1
4.16,0.0,0
8.32,0.0,0
4.16,0.0,0
12.48,0.0,0
19.41,0.0,0
15.25,0.0,0
6.93,0.0,0
15.25,0.0,0
12.48,0.0,0
13.86,0.0,0
13.86,0.0,-1
4.16,0.0,0
4.16,0.0,0
18.02,0.0,0
23.57,0.0,0
8.32,0.0,0
33.27,0.0,-1
8.32,0.0,0
8.32,0.0,0
18.02,0.0,0
24.95,0.0,2
30.5,0.0,0
16.64,0.0,0
8.32,0.0,0
20.79,0.0,0
9.7,0.0,1
22.18,0.0,0
22.18,0.0,0
13.86,0.0,0
27.73,0.0,0
6.93,0.0,0
8.32,0.0,0
18.02,0.0,-1
24.95,0.0,0
13.86,0.0,0
27.73,0.0,0
12.48,0.0,-1
12.48,0.0,0
8.32,0.0,0
12.48,0.0,0
8.32,0.0,0
18.02,0.0,0
13.86,0.0,0
16.64,0.0,0
9.7,0.0,0
16.64,0.0,0
27.73,0.0,-1
6.93,0.0,1
5.55,0.0,-1
8.32,0.0,1
11.09,0.0,0
15.25,0.0,0
45.75,0.0,0
5.55,0.0,-1
8.32,0.0,0
19.41,0.0,0
13.86,0.0,0
11.09,0.0,-1
9.7,0.0,0
15.25,0.0,0
12.48,0.0,0
5.55,0.0,1
20.79,0.0,1
16.64,0.0,0
8.32,0.0,0
27.73,0.0,0
15.25,0.0,0
26.34,0.0,0
13.86,0.0,0
11.09,0.0,1
6.93,0.0,0
8.32,0.0,0
8.32,0.0,0
6.93,0.0,1
12.48,0.0,0
12.48,0.0,0
26.34,0.0,0
11.09,0.0,0
11.09,0.0,0
6.93,0.0,0
6.93,0.0,0
29.11,0.0,0
12.48,0.0,0
19.41,0.0,0
15.25,0.0,-1
8.32,0.0,0
9.7,0.0,0
18.02,0.0,0
11.09,0.0,0
9.7,0.0,0
12.48,0.0,0
13.86,0.0,-1
13.86,0.0,0
15.25,0.0,0
16.64,0.0,0
9.7,0.0,0
8.32,0.0,-1
22.18,0.0,0
20.79,0.0,0
15.25,0.0,0
23.57,0.0,0
18.02,0.0,0
9.7,0.0,-1
22.18,0.0,0
9.7,0.0,0
16.64,0.0,0
15.25,0.0,0
11.09,0.0,0
5.55,0.0,1
16.64,0.0,0
11.09,0.0,0
26.34,0.0,-1
16.64,0.0,-1
9.7,0.0,0
26.34,0.0,0
24.95,0.0,0
6.93,0.0,0
23.57,0.0,0
15.25,0.0,0
23.57,0.0,0
12.48,0.0,0
18.02,0.0,0
26.34,0.0,0
12.48,0.0,0
13.86,0.0,0
8.32,0.0,0
13.86,0.0,0
20.79,0.0,0
8.32,0.0,0
16.64,0.0,0
9.7,0.0,0
16.64,0.0,1
5.55,0.0,0
16.64,0.0,1
27.73,0.0,0
4.16,0.0,0
16.64,0.0,0
13.86,0.0,0
4.16,0.0,-1
13.86,0.0,0
15.25,0.0,0
20.79,0.0,0
9.7,0.0,-1
13.86,0.0,-1
8.32,0.0,-1
22.18,0.0,1
9.7,0.0,1
16.64,0.0,0
8.32,0.0,1
8.32,0.0,1
9.7,0.0,0
19.41,0.0,0
18.02,0.0,0
13.86,0.0,0
12.48,0.0,-1
16.64,0.0,0
9.7,0.0,1
19.41,0.0,0
13.86,0.0,0
24.95,0.0,0
11.09,0.0,0
11.09,0.0,1
19.41,0.0,-1
16.64,0.0,0
15.25,0.0,0
5.55,0.0,0
26.34,0.0,0
13.86,0.0,0
9.7,0.0,0
20.79,0.0,0
20.79,0.0,0
19.41,0.0,0
19.41,0.0,0
26.34,0.0,0
15.25,0.0,0
18.02,0.0,0
12.48,0.0,0
12.48,0.0,0
16.64,0.0,0
9.7,0.0,-1
9.7,0.0,0
12.48,0.0,1
18.02,0.0,0
15.25,0.0,0
20.79,0.0,0
19.41,0.0,0
4.16,0.0,0
8.32,0.0,0
4.16,0.0,-1
16.64,0.0,1
18.02,0.0,0
6.93,0.0,-1
12.48,0.0,0
11.09,0.0,-1
30.5,0.0,0
15.25,0.0,0
16.64,0.0,1
9.7,0.0,0
8.32,0.0,0
16.64,0.0,0
8.32,0.0,1
15.25,0.0,0
22.18,0.0,0
12.48,0.0,0
11.09,0.0,0
5.55,0.0,0
20.79,0.0,0
8.32,0.0,1
15.25,0.0,0
9.7,0.0,-1
16.64,0.0,0
6.93,0.0,1
15.25,0.0,0
12.48,0.0,0
8.32,0.0,0
8.32,0.0,0
9.7,0.0,1
18.02,0.0,0
12.48,0.0,-1
16.64,0.0,1
9.7,0.0,0
6.93,0.0,0
8.32,0.0,1
16.64,0.0,0
12.48,0.0,0
8.32,0.0,0
16.64,0.0,2
16.64,0.0,0
15.25,0.0,1
18.02,0.0,0
18.02,0.0,0
5.55,0.0,0
29.11,0.0,-1
11.09,0.0,0
8.32,0.0,0
5.55,0.0,1
8.32,0.0,0
12.48,0.0,0
12.48,0.0,0
8.32,0.0,0
9.7,0.0,0
9.7,0.0,0
15.25,0.0,0
5.55,0.0,0
6.93,0.0,0
8.32,0.0,0
13.86,0.0,0
11.09,0.0,0
15.25,0.0,0
19.41,0.0,0
18.02,0.0,0
9.7,0.0,0
11.09,0.0,0
9.7,0.0,0
5.55,0.0,0
16.64,0.0,0
26.34,0.0,0
9.7,0.0,0
5.55,0.0,-1
8.32,0.0,0
12.48,0.0,0
13.86,0.0,0
11.09,0.0,1
11.09,0.0,0
22.18,0.0,0
18.02,0.0,0
12.48,0.0,0
9.7,0.0,0
9.7,0.0,1
15.25,0.0,0
8.32,0.0,0
23.57,0.0,0
23.57,0.0,0
26.34,0.0,0
6.93,0.0,-1
6.93,0.0,2
13.86,0.0,-1
12.48,0.0,2
19.41,0.0,-1
13.86,0.0,1
6.93,0.0,0
13.86,0.0,-1
11.09,0.0,1
6.93,0.0,-1
12.48,0.0,2
9.7,0.0,2
4.16,0.0,1
6.93,0.0,1
13.86,0.0,-1
8.32,0.0,1
8.32,0.0,-1
6.93,0.0,-1
0.0,0.0,0
18.02,0.0,1
6.93,0.0,-1
8.32,0.0,0
4.16,0.0,-1
11.09,0.0,1
5.55,0.0,1
8.32,0.0,1
8.32,0.0,2
16.64,0.0,1
5.55,0.0,1
8.32,0.0,1
15.25,0.0,2
12.48,0.0,2
6.93,0.0,0
6.93,0.0,1
11.09,0.0,1
5.55,0.0,1
5.55,0.0,0
16.64,0.0,2
8.32,0.0,0
22.18,0.0,2
11.09,0.0,-1
15.25,0.0,1
6.93,0.0,2
13.86,0.0,1
6.93,0.0,1
18.02,0.0,1
9.7,0.0,2
11.09,0.0,-1
4.16,0.0,0
12.48,0.0,1
6.93,0.0,0
5.55,0.0,-1
13.86,0.0,-1
13.86,0.0,2
11.09,0.0,-1
13.86,0.0,2
8.32,0.0,-1
12.48,0.0,-1
15.25,0.0,-1
15.25,0.0,2
13.86,0.0,1
12.48,0.0,2
8.32,0.0,1
20.79,0.0,-1
12.48,0.0,2
5.55,0.0,1
13.86,0.0,2
19.41,0.0,2
11.09,0.0,0
15.25,0.0,-1
11.09,0.0,-1
2.77,0.0,0
9.7,0.0,-1
20.79,0.0,-1
5.55,0.0,-1
8.32,0.0,2
9.7,0.0,1
9.7,0.0,1
12.48,0.0,0
13.86,0.0,2
20.79,0.0,-1
9.7,0.0,0
12.48,0.0,0
13.86,0.0,-1
11.09,0.0,2
6.93,0.0,1
9.7,0.0,1
12.48,0.0,2
11.09,0.0,1
11.09,0.0,-1
23.57,0.0,-1
9.7,0.0,2
6.93,0.0,-1
16.64,0.0,-1
16.64,0.0,2
12.48,0.0,1
5.55,0.0,1
8.32,0.0,2
13.86,0.0,2
8.32,0.0,1
18.02,0.0,2
11.09,0.0,-1
9.7,0.0,1
16.64,0.0,-1
4.16,0.0,1
12.48,0.0,1
6.93,0.0,1
6.93,0.0,1
15.25,0.0,-1
16.64,0.0,-1
13.86,0.0,-1
9.7,0.0,1
11.09,0.0,2
11.09,0.0,-1
13.86,0.0,2
8.32,0.0,1
8.32,0.0,1
13.86,0.0,2
13.86,0.0,1
15.25,0.0,-1
8.32,0.0,-1
18.02,0.0,-1
8.32,0.0,-1
16.64,0.0,-1
8.32,0.0,-1
15.25,0.0,-1
12.48,0.0,2
5.55,0.0,1
4.16,0.0,-1
24.95,0.0,2
8.32,0.0,0
19.41,0.0,2
6.93,0.0,-1
4.16,0.0,1
12.48,0.0,2
5.55,0.0,1
8.32,0.0,-1
6.93,0.0,1
4.16,0.0,-1
15.25,0.0,2
11.09,0.0,0
19.41,0.0,0
13.86,0.0,2
4.16,0.0,0
15.25,0.0,-1
8.32,0.0,1
8.32,0.0,0
12.48,0.0,2
4.16,0.0,1
15.25,0.0,-1
11.09,0.0,1
8.32,0.0,0
13.86,0.0,2
19.41,0.0,-1
6.93,0.0,1
9.7,0.0,-1
4.16,0.0,2
8.32,0.0,0
12.48,0.0,2
5.55,0.0,1
9.7,0.0,2
15.25,0.0,2
5.55,0.0,2
4.16,0.0,2
11.09,0.0,2
4.16,0.0,2
8.32,0.0,2
8.32,0.0,1
9.7,0.0,1
13.86,0.0,-1
6.93,0.0,-1
4.16,0.0,-1
16.64,0.0,2
4.16,0.0,1
9.7,0.0,1
6.93,0.0,-1
19.41,0.0,2
13.86,0.0,-1
9.7,0.0,-1
12.48,0.0,2
20.79,0.0,-1
11.09,0.0,1
4.16,0.0,1
9.7,0.0,1
6.93,0.0,2
18.02,0.0,-1
22.18,0.0,2
13.86,0.0,1
4.16,0.0,1
16.64,0.0,1
13.86,0.0,1
4.16,0.0,-1
11.09,0.0,2
5.55,0.0,-1
9.7,0.0,-1
26.34,0.0,2
5.55,0.0,-1
5.55,0.0,-1
13.86,0.0,2
12.48,0.0,-1
13.86,0.0,-1
6.93,0.0,-1
4.16,0.0,-1
4.16,0.0,2
11.09,0.0,-1
5.55,0.0,-1
13.86,0.0,-1
8.32,0.0,1
12.48,0.0,-1
5.55,0.0,-1
13.86,0.0,2
15.25,0.0,2
11.09,0.0,2
12.48,0.0,2
6.93,0.0,1
15.25,0.0,2
6.93,0.0,0
8.32,0.0,-1
8.32,0.0,-1
16.64,0.0,-1
4.16,0.0,-1
12.48,0.0,0
8.32,0.0,-1
16.64,0.0,-1
13.86,0.0,2
12.48,0.0,2
4.16,0.0,-1
9.7,0.0,-1
4.16,0.0,1
11.09,0.0,-1
5.55,0.0,1
20.79,0.0,-1
11.09,0.0,-1
13.86,0.0,2
24.95,0.0,2
11.09,0.0,-1
8.32,0.0,1
5.55,0.0,-1
5.55,0.0,-1
6.93,0.0,-1
4.16,0.0,1
13.86,0.0,-1
2.77,0.0,1
11.09,0.0,2
16.64,0.0,2
12.48,0.0,2
15.25,0.0,-1
8.32,0.0,0
9.7,0.0,2
9.7,0.0,2
9.7,0.0,2
15.25,0.0,2
8.32,0.0,1
6.93,0.0,1
6.93,0.0,1
16.64,0.0,2
8.32,0.0,1
8.32,0.0,2
8.32,0.0,-1
5.55,0.0,0
11.09,0.0,1
9.7,0.0,-1
11.09,0.0,2
19.41,0.0,0
5.55,0.0,-1
12.48,0.0,-1
8.32,0.0,2
9.7,0.0,2
5.55,0.0,-1
12.48,0.0,2
4.16,0.0,1
11.09,0.0,-1
8.32,0.0,1
5.55,0.0,1
6.93,0.0,1
5.55,0.0,1
4.16,0.0,1
4.16,0.0,1
6.93,0.0,-1
9.7,0.0,2
12.48,0.0,0
9.7,0.0,2
11.09,0.0,2
5.55,0.0,1
8.32,0.0,1
11.09,0.0,1
4.16,0.0,1
4.16,0.0,1
6.93,0.0,1
16.64,0.0,2
15.25,0.0,1
11.09,0.0,-1
16.64,0.0,-1
4.16,0.0,-1
22.18,0.0,2
16.64,0.0,-1
15.25,0.0,-1
20.79,0.0,-1
6.93,0.0,1
8.32,0.0,0
9.7,0.0,1
11.09,0.0,-1
13.86,0.0,-1
8.32,0.0,-1
15.25,0.0,2
19.41,0.0,-1
15.25,0.0,2
9.7,0.0,-1
16.64,0.0,1
9.7,0.0,-1
23.57,0.0,2
9.7,0.0,2
13.86,0.0,0
11.09,0.0,2
6.93,0.0,-1
12.48,0.0,1
6.93,0.0,1
11.09,0.0,1
15.25,0.0,2
15.25,0.0,2
12.48,0.0,-1
6.93,0.0,1
8.32,0.0,1
15.25,0.0,2
34.66,0.0,1
11.09,0.0,2
22.18,0.0,-1
6.93,0.0,1
9.7,0.0,2
9.7,0.0,2
13.86,0.0,2
12.48,0.0,2
9.7,0.0,2
5.55,0.0,1
8.32,0.0,-1
16.64,0.0,2
11.09,0.0,-1
9.7,0.0,2
8.32,0.0,-1
9.7,0.0,-1
16.64,0.0,-1
8.32,0.0,2
13.86,0.0,-1
8.32,0.0,1
12.48,0.0,1
4.16,0.0,1
13.86,0.0,1
11.09,0.0,1
18.02,0.0,0
12.48,0.0,0
12.48,0.0,2
8.32,0.0,-1
9.7,0.0,0
16.64,0.0,2
20.79,0.0,-1
8.32,0.0,1
15.25,0.0,1
12.48,0.0,-1
6.93,0.0,2
6.93,0.0,1
4.16,0.0,2
11.09,0.0,2
12.48,0.0,2
6.93,0.0,2
11.09,0.0,2
13.86,0.0,0
13.86,0.0,1
11.09,0.0,2
6.93,0.0,0
6.93,0.0,0
15.25,0.0,0
19.41,0.0,2
8.32,0.0,1
15.25,0.0,2
9.7,0.0,-1
18.02,0.0,2
23.57,0.0,1
12.48,0.0,2
5.55,0.0,1
11.09,0.0,-1
8.32,0.0,0
13.86,0.0,2
9.7,0.0,2
6.93,0.0,2
9.7,0.0,-1
11.09,0.0,0
12.48,0.0,2
16.64,0.0,-1
4.16,0.0,0
5.55,0.0,-1
8.32,0.0,-1
9.7,0.0,-1
8.32,0.0,1
18.02,0.0,0
8.32,0.0,0
18.02,0.0,0
13.86,0.0,1
13.86,0.0,-1
5.55,0.0,0
8.32,0.0,-1
15.25,0.0,-1
5.55,0.0,-1
12.48,0.0,-1
18.02,0.0,2
6.93,0.0,-1
9.7,0.0,-1
6.93,0.0,-1
13.86,0.0,-1
6.93,0.0,-1
5.55,0.0,1
6.93,0.0,0
18.02,0.0,1
5.55,0.0,-1
9.7,0.0,0
6.93,0.0,0
4.16,0.0,-1
13.86,0.0,0
12.48,0.0,2
11.09,0.0,2
16.64,0.0,-1
12.48,0.0,-1
15.25,0.0,-1
13.86,0.0,0
4.16,0.0,-1
5.55,0.0,1
6.93,0.0,0
22.18,0.0,2
9.7,0.0,2
9.7,0.0,1
6.93,0.0,2
12.48,0.0,2
9.7,0.0,-1
5.55,0.0,1
15.25,0.0,2
8.32,0.0,-1
5.55,0.0,-1
11.09,0.0,2
13.86,0.0,2
1.39,0.0,0
11.09,0.0,0
15.25,0.0,2
13.86,0.0,1
5.55,0.0,0
5.55,0.0,-1
6.93,0.0,-1
13.86,0.0,2
12.48,0.0,2
15.25,0.0,1
8.32,0.0,-1
9.7,0.0,-1
11.09,0.0,0
13.86,0.0,-1
8.32,0.0,-1
8.32,0.0,0
4.16,0.0,-1
5.55,0.0,0
13.86,0.0,-1
8.32,0.0,2
12.48,0.0,2
9.7,0.0,-1
12.48,0.0,2
12.48,0.0,1
13.86,0.0,0
6.93,0.0,1
15.25,0.0,2
6.93,0.0,-1
6.93,0.0,-1
19.41,0.0,2
9.7,0.0,2
1.39,0.0,0
1.39,0.0,0
4.16,0.0,1
18.02,0.0,1
5.55,0.0,1
12.48,0.0,-1
11.09,0.0,1
6.93,0.0,0
12.48,0.0,-1
13.86,0.0,2
5.55,0.0,1
15.25,0.0,1
4.16,0.0,1
15.25,0.0,0
16.64,0.0,-1
6.93,0.0,0
12.48,0.0,-1
5.55,0.0,-1
12.48,0.0,0
6.93,0.0,-1
8.32,0.0,2
16.64,0.0,2
16.64,0.0,2
19.41,0.0,0
6.93,0.0,0
8.32,0.0,0
0.0,0.0,-1
6.93,0.0,2
4.16,0.0,0
16.64,0.0,2
18.02,0.0,2
12.48,0.0,0
1.39,0.0,2
12.48,0.0,-1
11.09,0.0,0
8.32,0.0,0
6.93,0.0,0
12.48,0.0,1
11.09,0.0,1
11.09,0.0,2
13.86,0.0,2
13.86,0.0,1
16.64,0.0,0
11.09,0.0,2
16.64,0.0,2
4.16,0.0,1
2.77,0.0,0
11.09,0.0,0
8.32,0.0,-1
8.32,0.0,0
1.39,0.0,0
8.32,0.0,-1
4.16,0.0,2
2.77,0.0,0
2.77,0.0,0
9.7,0.0,2
15.25,0.0,2
4.16,0.0,1
4.16,0.0,1
11.09,0.0,0
5.55,0.0,0
13.86,0.0,-1
9.7,0.0,2
5.55,0.0,-1
16.64,0.0,1
16.64,0.0,1
4.16,0.0,1
8.32,0.0,2
6.93,0.0,-1
5.55,0.0,0
2.77,0.0,0
4.16,0.0,0
2.77,0.0,1
9.7,0.0,1
8.32,0.0,1
18.02,0.0,-1
11.09,0.0,1
8.32,0.0,1
5.55,0.0,-1
9.7,0.0,1
6.93,0.0,1
15.25,0.0,2
6.93,0.0,-1
13.86,0.0,2
9.7,0.0,1
11.09,0.0,-1
13.86,0.0,2
5.55,0.0,1
6.93,0.0,1
13.86,0.0,2
16.64,0.0,0
13.86,0.0,-1
9.7,0.0,1
13.86,0.0,2
4.16,0.0,0
6.93,0.0,0
12.48,0.0,-1
9.7,0.0,2
9.7,0.0,2
6.93,0.0,1
4.16,0.0,0
4.16,0.0,1
6.93,0.0,1
8.32,0.0,1
5.55,0.0,1
11.09,0.0,1
6.93,0.0,1
5.55,0.0,1
8.32,0.0,-1
8.32,0.0,-1
9.7,0.0,1
19.41,0.0,2
9.7,0.0,0
11.09,0.0,0
22.18,0.0,2
4.16,0.0,0
9.7,0.0,1
11.09,0.0,1
9.7,0.0,0
4.16,0.0,1
11.09,0.0,-1
6.93,0.0,-1
5.55,0.0,-1
9.7,0.0,2
6.93,0.0,1
9.7,0.0,0
13.86,0.0,1
18.02,0.0,0
5.55,0.0,0
9.7,0.0,1
9.7,0.0,1
4.16,0.0,0
12.48,0.0,2
9.7,0.0,2
15.25,0.0,-1
26.34,0.0,0
18.02,0.0,-1
15.25,0.0,-1
8.32,0.0,-1
12.48,0.0,2
8.32,0.0,1
6.93,0.0,0
19.41,0.0,1
6.93,0.0,-1
6.93,0.0,0
4.16,0.0,2
9.7,0.0,2
8.32,0.0,0
12.48,0.0,0
18.02,0.0,2
34.66,0.0,2
13.86,0.0,2
13.86,0.0,0
12.48,0.0,2
15.25,0.0,2
20.79,0.0,0
11.09,0.0,1
13.86,0.0,0
8.32,0.0,2
19.41,0.0,2
9.7,0.0,0
12.48,0.0,0
15.25,0.0,0
15.25,0.0,2
24.95,0.0,2
9.7,0.0,2
11.09,0.0,2
9.7,0.0,0
11.09,0.0,1
9.7,0.0,1
16.64,0.0,-1
6.93,0.0,-1
6.93,0.0,2
11.09,0.0,0
9.7,0.0,0
16.64,0.0,1
19.41,0.0,2
8.32,0.0,1
6.93,0.0,1
12.48,0.0,0
27.73,0.0,0
12.48,0.0,-1
12.48,0.0,1
5.55,0.0,-1
20.79,0.0,0
6.93,0.0,0
15.25,0.0,0
9.7,0.0,1
16.64,0.0,0
5.55,0.0,1
13.86,0.0,0
20.79,0.0,1
12.48,0.0,0
6.93,0.0,0
4.16,0.0,0
11.09,0.0,0
11.09,0.0,0
12.48,0.0,1
19.41,0.0,2
13.86,0.0,1
20.79,0.0,-1
18.02,0.0,0
8.32,0.0,0
9.7,0.0,0
5.55,0.0,-1
15.25,0.0,0
9.7,0.0,2
11.09,0.0,0
2.77,0.0,1
9.7,0.0,2
20.79,0.0,-1
8.32,0.0,0
11.09,0.0,1
6.93,0.0,0
5.55,0.0,0
5.55,0.0,0
6.93,0.0,0
8.32,0.0,0
11.09,0.0,2
6.93,0.0,2
16.64,0.0,0
12.48,0.0,-1
11.09,0.0,-1
11.09,0.0,-1
15.25,0.0,0
4.16,0.0,0
12.48,0.0,2
9.7,0.0,1
12.48,0.0,0
22.18,0.0,-1
11.09,0.0,2
8.32,0.0,0
15.25,0.0,-1
6.93,0.0,0
11.09,0.0,-1
9.7,0.0,0
6.93,0.0,2
12.48,0.0,-1
15.25,0.0,-1
15.25,0.0,-1
8.32,0.0,-1
19.41,0.0,0
16.64,0.0,1
9.7,0.0,-1
4.16,0.0,2
8.32,0.0,-1
20.79,0.0,-1
8.32,0.0,2
8.32,0.0,0
12.48,0.0,1
20.79,0.0,-1
8.32,0.0,2
19.41,0.0,0
20.79,0.0,0
5.55,0.0,-1
12.48,0.0,-1
12.48,0.0,-1
9.7,0.0,2
16.64,0.0,0
11.09,0.0,-1
8.32,0.0,0
18.02,0.0,-1
12.48,0.0,-1
12.48,0.0,2
12.48,0.0,-1
20.79,0.0,0
4.16,0.0,-1
5.55,0.0,-1
9.7,0.0,0
12.48,0.0,2
8.32,0.0,0
18.02,0.0,0
13.86,0.0,0
12.48,0.0,2
8.32,0.0,0
19.41,0.0,0
16.64,0.0,1
12.48,0.0,0
20.79,0.0,2
24.95,0.0,0
18.02,0.0,0
13.86,0.0,1
11.09,0.0,1
11.09,0.0,2
5.55,0.0,0
16.64,0.0,1
6.93,0.0,2
13.86,0.0,1
13.86,0.0,2
8.32,0.0,0
20.79,0.0,-1
13.86,0.0,0
11.09,0.0,0
11.09,0.0,2
11.09,0.0,2
9.7,0.0,2
6.93,0.0,2
11.09,0.0,2
9.7,0.0,1
6.93,0.0,0
8.32,0.0,0
8.32,0.0,1
16.64,0.0,0
9.7,0.0,2
20.79,0.0,0
5.55,0.0,0
11.09,0.0,2
8.32,0.0,0
19.41,0.0,-1
15.25,0.0,0
18.02,0.0,2
8.32,0.0,2
8.32,0.0,1
12.48,0.0,2
19.41,0.0,-1
13.86,0.0,0
15.25,0.0,2
18.02,0.0,-1
13.86,0.0,1
13.86,0.0,-1
8.32,0.0,1
6.93,0.0,0
11.09,0.0,2
22.18,0.0,1
18.02,0.0,2
4.16,0.0,0
13.86,0.0,0
9.7,0.0,1
19.41,0.0,2
11.09,0.0,2
5.55,0.0,2
9.7,0.0,-1
12.48,0.0,0
11.09,0.0,2
22.18,0.0,0
18.02,0.0,-1
6.93,0.0,0
16.64,0.0,2
8.32,0.0,2
11.09,0.0,-1
11.09,0.0,1
11.09,0.0,-1
8.32,0.0,2
9.7,0.0,0
9.7,0.0,-1
8.32,0.0,0
13.86,0.0,2
15.25,0.0,2
8.32,0.0,1
11.09,0.0,-1
11.09,0.0,-1
8.32,0.0,0
9.7,0.0,2
5.55,0.0,1
5.55,0.0,0
19.41,0.0,2
18.02,0.0,2
9.7,0.0,-1
8.32,0.0,2
12.48,0.0,2
8.32,0.0,2
13.86,0.0,0
19.41,0.0,-1
13.86,0.0,2
8.32,0.0,0
22.18,0.0,0
8.32,0.0,0
11.09,0.0,0
11.09,0.0,0
19.41,0.0,0
12.48,0.0,-1
8.32,0.0,0
6.93,0.0,2
15.25,0.0,-1
11.09,0.0,0
12.48,0.0,2
20.79,0.0,-1
13.86,0.0,-1
5.55,0.0,-1
16.64,0.0,-1
13.86,0.0,-1
9.7,0.0,2
15.25,0.0,1
9.7,0.0,2
9.7,0.0,-1
13.86,0.0,-1
6.93,0.0,1
5.55,0.0,-1
16.64,0.0,-1
6.93,0.0,2
18.02,0.0,0
16.64,0.0,2
8.32,0.0,-1
12.48,0.0,2
16.64,0.0,1
22.18,0.0,0
5.55,0.0,0
20.79,0.0,-1
6.93,0.0,0
11.09,0.0,2
13.86,0.0,-1
6.93,0.0,0
11.09,0.0,2
6.93,0.0,-1
8.32,0.0,2
22.18,0.0,-1
11.09,0.0,1
20.79,0.0,2
12.48,0.0,-1
9.7,0.0,2
12.48,0.0,-1
18.02,0.0,0
4.16,0.0,0
12.48,0.0,0
6.93,0.0,2
6.93,0.0,0
6.93,0.0,-1
26.34,0.0,0
4.16,0.0,0
11.09,0.0,2
9.7,0.0,-1
15.25,0.0,2
15.25,0.0,2
12.48,0.0,0
6.93,0.0,-1
4.16,0.0,1
13.86,0.0,-1
9.7,0.0,0
12.48,0.0,2
12.48,0.0,1
16.64,0.0,-1
23.57,0.0,2
13.86,0.0,1
16.64,0.0,-1
15.25,0.0,-1
19.41,0.0,-1
20.79,0.0,0
8.32,0.0,0
27.73,0.0,-1
16.64,0.0,2
11.09,0.0,-1
13.86,0.0,2
13.86,0.0,-1
13.86,0.0,0
24.95,0.0,2
12.48,0.0,1
9.7,0.0,-1
16.64,0.0,-1
11.09,0.0,0
12.48,0.0,-1
15.25,0.0,-1
4.16,0.0,0
13.86,0.0,2
9.7,0.0,0
13.86,0.0,0
11.09,0.0,2
13.86,0.0,0
12.48,0.0,-1
8.32,0.0,0
8.32,0.0,0
12.48,0.0,-1
9.7,0.0,-1
9.7,0.0,1
16.64,0.0,1
2.77,0.0,0
18.02,0.0,-1
4.16,0.0,-1
9.7,0.0,1
5.55,0.0,0
15.25,0.0,1
13.86,0.0,0
12.48,0.0,2
4.16,0.0,0
2.77,0.0,-1
15.25,0.0,0
12.48,0.0,2
12.48,0.0,2
9.7,0.0,0
16.64,0.0,2
13.86,0.0,0
9.7,0.0,2
15.25,0.0,1
13.86,0.0,0
15.25,0.0,1
13.86,0.0,1
6.93,0.0,0
8.32,0.0,0
5.55,0.0,2
15.25,0.0,1
19.41,0.0,2
8.32,0.0,2
13.86,0.0,1
5.55,0.0,0
20.79,0.0,-1
9.7,0.0,0
9.7,0.0,0
18.02,0.0,1
9.7,0.0,2
23.57,0.0,2
9.7,0.0,-1
8.32,0.0,-1
9.7,0.0,0
9.7,0.0,-1
6.93,0.0,0
8.32,0.0,0
19.41,0.0,0
9.7,0.0,2
8.32,0.0,0
18.02,0.0,1
13.86,0.0,0
20.79,0.0,2
15.25,0.0,0
27.73,0.0,-1
16.64,0.0,-1
8.32,0.0,2
12.48,0.0,2
19.41,0.0,1
19.41,0.0,-1
11.09,0.0,-1
6.93,0.0,0
13.86,0.0,-1
12.48,0.0,-1
13.86,0.0,0
13.86,0.0,1
26.34,0.0,2
22.18,0.0,1
22.18,0.0,1
22.18,0.0,1
26.34,0.0,-1
27.73,0.0,0
15.25,0.0,2
16.64,0.0,2
8.32,0.0,2
6.93,0.0,1
16.64,0.0,0
20.79,0.0,1
15.25,0.0,2
4.16,0.0,-1
11.09,0.0,-1
5.55,0.0,0
11.09,0.0,-1
11.09,0.0,1
8.32,0.0,0
20.79,0.0,-1
4.16,0.0,1
12.48,0.0,0
30.5,0.0,0
16.64,0.0,2
11.09,0.0,0
18.02,0.0,2
11.09,0.0,-1
12.48,0.0,2
9.7,0.0,0
9.7,0.0,2
19.41,0.0,2
11.09,0.0,0
6.93,0.0,2
9.7,0.0,-1
9.7,0.0,-1
16.64,0.0,1
8.32,0.0,-1
20.79,0.0,-1
9.7,0.0,2
9.7,0.0,1
16.64,0.0,0
13.86,0.0,-1
6.93,0.0,2
15.25,0.0,-1
9.7,0.0,-1
26.34,0.0,2
23.57,0.0,0
9.7,0.0,-1
8.32,0.0,1
